postid,likes,category,link,data
ig55192712,9,instagram@heinzcollege_careersvcs,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/e35/159678684_488996979180397_8142441980569115573_n.jpg?tp=1&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=fBn8KDKaofIAX9zdCKs&edm=ABfd0MgBAAAA&ccb=7-4&oh=1a84d0135f793f2c7be199ef99124e47&oe=60BE7A71&_nc_sid=7bff83,"{'text': 'HAPPENING TODAY!\n\nSocial Good through Public Finance and Wealth Management\nFriday, March 12th\n12-1pm ET\nRegister via Handshake\n\nJoin us for a candid conversation with MSPPM alums Jenai Booker and Shawneil Campbell, from the class of 2015. In this conversation they aim to do three things: (1) Demystify preconceived notions about the fields of Public Finance and Wealth Management; (2) Illustrate how to get the most out of your MSPPM degree; and (3) Network with all of you. We look forward to a fruitful conversation.'}"
ig05549400,15,instagram@heinzcollege_careersvcs,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/e35/123468333_287804362413378_3184668722624013139_n.jpg?tp=1&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=qzkD7xldHXwAX-FAavz&edm=ABfd0MgBAAAA&ccb=7-4&oh=e92da2cc929850f2dea1dac4e57f5d96&oe=60BF9457&_nc_sid=7bff83,"{'text': 'Today kicks off the @heinzcollege Washington DC Colloquium! The Washington DC Colloquium is an annual Heinz College event that aims to educate students on different industries and sectors in Washington DC, while engaging with our Heinz College alumni network.'}"
ig44047104,7,instagram@heinzcollege_careersvcs,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/e35/122226411_146347510547488_3975926397244437134_n.jpg?tp=1&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=lu6brG8aFp4AX-mT8q4&edm=ABfd0MgBAAAA&ccb=7-4&oh=de2f21fe98d1189e138a9f3412ce903b&oe=60BDFD25&_nc_sid=7bff83,"{'text': 'Network Nationally continues today! Register and log in to the event to live chat with over 40 alumni from all degree programs hosting virtual booths. Thanks to all the Alumni, Students, and Staff that make these events possible!'}"
ig65882621,17,instagram@heinzcollege_careersvcs,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/122045346_2720740751527172_5551883141867654541_n.jpg?tp=1&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=bNCbIUr0ZYkAX-ptt2F&edm=ABfd0MgBAAAA&ccb=7-4&oh=afc1fe5197f3644fd44f363ba3bfa0f9&oe=60BEF9AF&_nc_sid=7bff83,"{'text': 'Calling all Heinz College of Information Systems and Public Policy Alumni & Students!\n\nVirtually meet and network with alumni from various industry sectors all around the country.  Alumni will host virtual booths in the InfernoAR platform and will represent all of the various Heinz Programs. Join a live chat by reviewing the schedule and the booth information that includes alumni names, programs, graduation years, job titles, current company and brief bios.\nOnce you are logged into Network Nationally you will also have the opportunity for real time text chats taking place among all Event Attendees who jump in on Thursday & Friday so be sure to create an Attendee Profile to participate!\n\n• Register for Network Nationally: link on Facebook\n• Please complete a Profile so you show up as an event Attendee\n• Log into the Network Nationally event page frequently from Thur Oct. 22 to Fri. Oct. 23 so you can have text chats with other alumni, current students & Heinz staff!! Check out our Heinz College Program Chat rooms and join the Fun!!!'}"
ig20455518,11,instagram@heinzcollege_careersvcs,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/120938943_671341367121466_7767034521984572711_n.jpg?tp=1&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=u3Adq1IzTOwAX8G5fT3&edm=ABfd0MgBAAAA&ccb=7-4&oh=d8d65b7db09217d178e4276f8e606c72&oe=60C02CD7&_nc_sid=7bff83,"{'text': 'Destinations in Data - happening THIS WEEK! \nA three-day virtual event for @heinzcollege students to learn how Data Analytics skills can be applied in various industries such as Technology, E-commerce, Healthcare, Public Tech, & Entertainment. Attendees will have the opportunity to establish current Heinz College student connections by visiting virtual student showcase booths, hear from Heinz alumni and industry leaders, and see corporate recruiters who want to hire Heinz students for data analytics jobs and internships!'}"
ig06423416,53,instagram@carnegiemellonece,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/e35/182187322_230221435543909_8301556896045766325_n.jpg?tp=1&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=6IFFaqbkTfUAX9jWk_U&edm=ABfd0MgBAAAA&ccb=7-4&oh=32976f18b839cc50be091cc9e1b60aa0&oe=60C0E765&_nc_sid=7bff83,"{'text': 'With the current #computerchip shortage in the spotlight, #cmuece is preparing the chip workforce of the future by attracting students to the integrated circuit design field. \n\nCMU established an initiative with industry partners whereby they fund scholarships and fellowships for students who follow the path of a hardware concentration. Companies recognize that providing a financial incentive toward hardware design is needed to give students the opportunity to consider that option. Additionally, the industry partners share tangible demonstrations of what such careers look like, and what exciting opportunities await them.'}"
ig66859391,10,instagram@carnegiemellonece,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/169516446_130972205603185_6487758879931039077_n.jpg?tp=1&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=7fFkEGvnMT0AX8Is76w&edm=ABfd0MgBAAAA&ccb=7-4&oh=f8cef59ab0f790381787ca942e3c13aa&oe=60C0359E&_nc_sid=7bff83,"{'text': 'As part of CMU Carnival Week, ECE is hosting informal panel discussions with ECE alums from both industry and academia. All ECE students are welcome to register - check your email for the registration links! \u2063\u2063⠀\n\u2063\u2063⠀\nECE alumni are also invited to a virtual lunch and short tech talk with current faculty. Watch your email for registration information. \u2063\u2063⠀\n\u2063\u2063⠀\n🎟𝗘𝗖𝗘 𝗔𝗹𝘂𝗺𝗻𝗶 𝗣𝗮𝗻𝗲𝗹 𝗦𝗲𝘀𝘀𝗶𝗼𝗻\u2063\u2063⠀\nTuesday, April 13\u2063\u2063⠀\n12-1pm EST\u2063\u2063⠀\n\u2063\u2063⠀\n🎟𝗪𝗼𝗺𝗲𝗻 𝗶𝗻 𝗔𝗰𝗮𝗱𝗲𝗺𝗶𝗮: 𝗬𝗲𝘀 𝗪𝗲 𝗖𝗮𝗻\u2063\u2063⠀\nWednesday, April 14 \u2063\u2063⠀\n12-1:30pm EST\u2063\u2063⠀\n\u2063\u2063⠀\n🎟𝗘𝗖𝗘 𝗔𝗹𝘂𝗺𝗻𝗶 & 𝗙𝗮𝗰𝘂𝗹𝘁𝘆 𝗟𝘂𝗻𝗰𝗵\u2063\u2063⠀\nThursday, April 15\u2063\u2063⠀\n12-1pm EST\u2063\u2063⠀\n\u2063\u2063⠀\n\u2063\u2063⠀\n#CMUcarnival #CMUreunions #CMUbuggy'}"
ig77893342,55,instagram@carnegiemellonece,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/e35/169211918_153676633311479_8923729643414900994_n.jpg?tp=1&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=yAGzuqMIiEcAX8z7cVW&edm=ABfd0MgBAAAA&ccb=7-4&oh=7b7dd41eae1bc135c78c06e568b2b5da&oe=60BE3188&_nc_sid=7bff83,"{'text': 'Two Carnegie Mellon alumni, including a #cmuece grad, contributed to ensuring a smooth Inauguration Day. General Bowie (ECE 1989) was the first to salute President Joe Biden and Vice President Kamala Harris. \n\nFor Bowie, a West Baltimore native and 1989 graduate of CMU’s College of Engineering, January 20, 2021, was his fourth time playing a leadership role in a presidential inauguration. This year, as Deputy Commanding General — Inauguration, Bowie was tasked with organizing all the military logistics of the ceremony on that day.\n\n#cmualumni'}"
ig13385737,96,instagram@carnegiemellonece,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/e35/166986613_286404356441257_9067777800256419724_n.jpg?tp=1&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=UKoFgaUMM4EAX8In9b9&edm=ABfd0MgBAAAA&ccb=7-4&oh=3797a9dbf7bf6f868a32a9464c721731&oe=60C0218C&_nc_sid=7bff83,"{'text': 'Esther Bedoyan, a junior majoring ECE and biomedical engineering with a minor in Chinese studies, has received the prestigious 2021 Barry Goldwater Scholarship to encourage her pursuit of a research career.\n\nSince the fall of 2020, Bedoyan has been conducting research in Dr. Maysam Chamanzar’s lab focusing on developing an adaptive frequency domain filtering technique that removes electrical interference from electrophysiology data.\n\n“I’ve had a lot of fun with this project. I’ve been able to independently develop this filtering technique and test its performance on real electrophysiology recordings collected from neural organoids and present my findings at multiple conferences and poster presentations,” Bedoyan said.\n\nUpon graduation, she plans on completing the Integrated Masters Bachelor Program at CMU, then pursuing a Ph.D.\n\n#goldwaterscholarship #engineer #cmuece @carnegiemellon @cmuengineering'}"
ig59284545,34,instagram@carnegiemellonece,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/e35/166992593_450828902839545_8258335789443747292_n.jpg?tp=1&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=8jGEz1Yu84MAX8De84X&edm=ABfd0MgBAAAA&ccb=7-4&oh=cdd89f0e776e3cbcf67659d80702d92b&oe=60BF8308&_nc_sid=7bff83,"{'text': 'In a recent Nature Communications Biology paper, #cmuece PhD student Alireza Chamanzar demonstrates an algorithm called #SilenceMap to locate regions of neural silence using an EEG, a widely accessible device that measures brain activity. \n\nA region of silence in the brain can be a sign of stroke or a brain tumor. These silences can also result from brain damage or tissue death. Locating the regions of neural silence could ensure patients are diagnosed earlier and allow their treatment to begin sooner.\n\n#brainresearch'}"
